Channel,Region,Fresh,Milk,Grocery,Frozen,Delicassen
2,3,12669,9656,7561,214,1338
2,3,7057,9810,9568,1762,1776
2,3,6353,8808,7684,2405,7844
1,3,13265,1196,4221,6404,1788
2,3,22615,5410,7198,3915,5185
2,3,9413,8259,5126,666,1451
2,3,12126,3199,6975,480,545
2,3,7579,4956,9426,1669,2566
1,3,5963,3648,6192,425,750
2,3,6006,11093,18881,1159,2098
2,3,3366,5403,12974,4400,1744
2,3,13146,1124,4523,1420,497
2,3,31714,12319,11757,287,2931
2,3,21217,6208,14982,3095,602
2,3,24653,9465,12091,294,2168
1,3,10253,1114,3821,397,412
2,3,1020,8816,12121,134,1080
1,3,5876,6157,2933,839,4478
2,3,18601,6327,10099,2205,3181
1,3,7780,2495,9464,669,501
2,3,17546,4519,4602,1066,2124
1,3,5567,871,2010,3383,569
1,3,31276,1917,4469,9408,4334
2,3,26373,36423,22019,5154,16523
2,3,22647,9776,13792,2915,5778
2,3,16165,4230,7595,201,57
1,3,9898,961,2861,3151,833
1,3,14276,803,3045,485,518
2,3,4113,20484,25957,1158,5206
1,3,43088,2100,2609,1200,823
1,3,18815,3610,11107,1148,2963
1,3,2612,4339,3133,2088,985
1,3,21632,1318,2886,266,405
1,3,29729,4786,7326,6130,1083
1,3,1502,1979,2262,425,395
2,3,688,5491,11091,833,436
1,3,29955,4362,5428,1729,4626
2,3,15168,10556,12477,1920,714
2,3,4591,15729,16709,33,433
1,3,56159,555,902,10002,2916
1,3,24025,4332,4757,9510,5864
1,3,19176,3065,5956,2033,2802
2,3,10850,7555,14961,188,46
2,3,630,11095,23998,787,72
2,3,9670,7027,10471,541,65
2,3,5181,22044,21531,1740,4985
2,3,3103,14069,21955,1668,1452
2,3,44466,54259,55571,7782,6465
2,3,11519,6152,10868,584,1476
2,3,4967,21412,28921,1798,1163
1,3,6269,1095,1980,3860,2162
1,3,3347,4051,6996,239,301
2,3,40721,3916,5876,532,1278
2,3,491,10473,11532,744,224
1,3,27329,1449,1947,2436,1333
1,3,5264,3683,5005,1057,1130
2,3,4098,29892,26866,2616,1340
2,3,5417,9933,10487,38,1282
1,3,13779,1970,1648,596,436
1,3,6137,5360,8040,129,1603
2,3,8590,3045,7854,96,225
2,3,35942,38369,59598,3254,2017
2,3,7823,6245,6544,4154,964
2,3,9396,11601,15775,2896,1295
1,3,4760,1227,3250,3724,1145
2,3,85,20959,45828,36,1423
1,3,9,1534,7417,175,27
2,3,19913,6759,13462,1256,834
1,3,2446,7260,3993,5870,3095
1,3,8352,2820,1293,779,144
1,3,16705,2037,3202,10643,1365
1,3,18291,1266,21042,5373,14472
1,3,4420,5139,2661,8872,181
2,3,19899,5332,8713,8132,648
2,3,8190,6343,9794,1285,1780
1,3,20398,1137,3,4407,975
1,3,717,3587,6532,7530,894
2,3,12205,12697,28540,869,1009
1,3,10766,1175,2067,2096,167
1,3,1640,3259,3655,868,1653
1,3,7005,829,3009,430,529
2,3,219,9540,14403,283,156
2,3,10362,9232,11009,737,2342
1,3,20874,1563,1783,2320,772
2,3,11867,3327,4814,1178,120
2,3,16117,46197,92780,1026,2944
2,3,22925,73498,32114,987,903
1,3,43265,5025,8117,6312,14351
1,3,7864,542,4042,9735,46
1,3,24904,3836,5330,3443,3178
1,3,11405,596,1638,3347,360
1,3,12754,2762,2530,8693,1117
2,3,9198,27472,32034,3232,5130
1,3,11314,3090,2062,35009,2698
2,3,5626,12220,11323,206,244
1,3,3,2920,6252,440,709
2,3,23,2616,8118,145,217
1,3,403,254,610,774,63
1,3,503,112,778,895,132
1,3,9658,2182,1909,5639,323
2,3,11594,7779,12144,3252,3029
2,3,1420,10810,16267,1593,1838
2,3,2932,6459,7677,2561,1386
1,3,56082,3504,8906,18028,2498
1,3,14100,2132,3445,1336,548
1,3,15587,1014,3970,910,1378
2,3,1454,6337,10704,133,1831
2,3,8797,10646,14886,2471,1438
2,3,1531,8397,6981,247,1236
2,3,1406,16729,28986,673,3
1,3,11818,1648,1694,2276,1647
2,3,12579,11114,17569,805,1519
1,3,19046,2770,2469,8853,2708
1,3,14438,2295,1733,3220,1561
1,3,18044,1080,2000,2555,1266
1,3,11134,793,2988,2715,610
1,3,11173,2521,3355,1517,222
1,3,6990,3880,5380,1647,1160
1,3,20049,1891,2362,5343,933
1,3,8258,2344,2147,3896,635
1,3,17160,1200,3412,2417,1136
1,3,4020,3234,1498,2395,255
1,3,12212,201,245,1991,860
2,3,11170,10769,8814,2194,143
1,3,36050,1642,2961,4787,1621
1,3,76237,3473,7102,16538,918
1,3,19219,1840,1658,8195,483
2,3,21465,7243,10685,880,2749
1,3,140,8847,3823,142,3
1,3,42312,926,1510,1718,1819
1,3,7149,2428,699,6316,911
1,3,2101,589,314,346,310
1,3,14903,2032,2479,576,328
1,3,9434,1042,1235,436,396
1,3,7388,1882,2174,720,537
1,3,6300,1289,2591,1170,326
1,3,4625,8579,7030,4575,1542
1,3,3087,8080,8282,661,36
1,3,13537,4257,5034,155,3271
1,3,5387,4979,3343,825,929
1,3,17623,4280,7305,2279,2616
1,3,30379,13252,5189,321,1450
1,3,37036,7152,8253,2995,3
1,3,10405,1596,1096,8425,318
1,3,18827,3677,1988,118,201
2,3,22039,8384,34792,42,4430
1,3,7769,1936,2177,926,520
1,3,9203,3373,2707,1286,526
1,3,5924,584,542,4052,434
1,3,31812,1433,1651,800,1440
1,3,16225,1825,1765,853,1067
1,3,1289,3328,2022,531,1774
1,3,18840,1371,3135,3001,184
1,3,3463,9250,2368,779,1627
1,3,622,55,137,75,8
2,3,1989,10690,19460,233,2153
2,3,3830,5291,14855,317,3182
1,3,17773,1366,2474,3378,418
2,3,2861,6570,9618,930,1682
2,3,355,7704,14682,398,303
2,3,1725,3651,12822,824,2157
1,3,12434,540,283,1092,2233
1,3,15177,2024,3810,2665,610
2,3,5531,15726,26870,2367,446
2,3,5224,7603,8584,2540,238
2,3,15615,12653,19858,4425,2379
2,3,4822,6721,9170,993,3637
1,3,2926,3195,3268,405,693
1,3,5809,735,803,1393,429
1,3,5414,717,2155,2399,750
2,3,260,8675,13430,1116,323
2,3,200,25862,19816,651,6250
1,3,955,5479,6536,333,707
2,3,514,7677,19805,937,716
1,3,286,1208,5241,2515,1442
2,3,2343,7845,11874,52,1697
1,3,45640,6958,6536,7368,230
1,3,12759,7330,4533,1752,2631
1,3,11002,7075,4945,1152,395
1,3,3157,4888,2500,4477,2165
1,3,12356,6036,8887,402,2794
1,3,112151,29627,18148,16745,8550
1,3,694,8533,10518,443,156
1,3,36847,43950,20170,36534,47943
1,3,327,918,4710,74,11
1,3,8170,6448,1139,2181,247
1,3,3009,521,854,3470,727
1,3,2438,8002,9819,6269,3
2,3,8040,7639,11687,2758,404
2,3,834,11577,11522,275,1856
1,3,16936,6250,1981,7332,64
1,3,13624,295,1381,890,84
1,3,5509,1461,2251,547,409
2,3,180,3485,20292,959,666
1,3,7107,1012,2974,806,1142
1,3,17023,5139,5230,7888,1755
1,1,30624,7209,4897,18711,2876
2,1,2427,7097,10391,1127,1468
1,1,11686,2154,6824,3527,697
1,1,9670,2280,2112,520,347
2,1,3067,13240,23127,3941,731
2,1,4484,14399,24708,3549,1681
1,1,25203,11487,9490,5065,6854
1,1,583,685,2216,469,18
1,1,1956,891,5226,1383,1328
2,1,1107,11711,23596,955,710
1,1,6373,780,950,878,285
2,1,2541,4737,6089,2946,120
1,1,1537,3748,5838,1859,806
2,1,5550,12729,16767,864,797
1,1,18567,1895,1393,1801,2100
2,1,12119,28326,39694,4736,2870
1,1,7291,1012,2062,1291,1775
1,1,3317,6602,6861,1329,1215
2,1,2362,6551,11364,913,791
1,1,2806,10765,15538,1374,2388
2,1,2532,16599,36486,179,674
1,1,18044,1475,2046,2532,1158
2,1,18,7504,15205,1285,6372
1,1,4155,367,1390,2306,130
1,1,14755,899,1382,1765,749
1,1,5396,7503,10646,91,239
1,1,5041,1115,2856,7496,375
2,1,2790,2527,5265,5612,1360
1,1,7274,659,1499,784,659
1,1,12680,3243,4157,660,786
2,1,20782,5921,9212,1759,1553
1,1,4042,2204,1563,2286,689
1,1,1869,577,572,950,203
1,1,8656,2746,2501,6845,980
2,1,11072,5989,5615,8321,2137
1,1,2344,10678,3828,1439,490
1,1,25962,1780,3838,638,834
1,1,964,4984,3316,937,7
1,1,15603,2703,3833,4260,2563
1,1,1838,6380,2824,1218,295
1,1,8635,820,3047,2312,225
1,1,18692,3838,593,4634,1215
1,1,7363,475,585,1112,216
1,1,47493,2567,3779,5243,2253
1,1,22096,3575,7041,11422,2564
1,1,24929,1801,2475,2216,1047
1,1,18226,659,2914,3752,578
1,1,11210,3576,5119,561,2398
1,1,6202,7775,10817,1183,1970
2,1,3062,6154,13916,230,2784
1,1,8885,2428,1777,1777,610
1,1,13569,346,489,2077,659
1,1,15671,5279,2406,559,572
1,1,8040,3795,2070,6340,291
1,1,3191,1993,1799,1730,710
2,1,6134,23133,33586,6746,5121
1,1,6623,1860,4740,7683,1693
1,1,29526,7961,16966,432,1391
1,1,10379,17972,4748,4686,3265
1,1,31614,489,1495,3242,615
1,1,11092,5008,5249,453,373
1,1,8475,1931,1883,5004,987
1,1,56083,4563,2124,6422,3321
1,1,53205,4959,7336,3012,818
1,1,9193,4885,2157,327,548
1,1,7858,1110,1094,6818,287
1,1,23257,1372,1677,982,655
1,1,2153,1115,6684,4324,411
2,1,1073,9679,15445,61,1265
1,1,5909,23527,13699,10155,3636
2,1,572,9763,22182,2221,2563
1,1,20893,1222,2576,3975,3628
2,1,11908,8053,19847,1069,698
1,1,15218,258,1138,2516,204
1,1,4720,1032,975,5500,56
1,1,2083,5007,1563,1120,1550
1,1,514,8323,6869,529,1040
1,3,36817,3045,1493,4802,1824
1,3,894,1703,1841,744,1153
1,3,680,1610,223,862,379
1,3,27901,3749,6964,4479,2503
1,3,9061,829,683,16919,139
1,3,11693,2317,2543,5845,1409
2,3,17360,6200,9694,1293,1721
1,3,3366,2884,2431,977,1104
2,3,12238,7108,6235,1093,2079
1,3,49063,3965,4252,5970,1404
1,3,25767,3613,2013,10303,1384
1,3,68951,4411,12609,8692,2406
1,3,40254,640,3600,1042,18
1,3,7149,2247,1242,1619,128
1,3,15354,2102,2828,8366,1027
1,3,16260,594,1296,848,258
1,3,42786,286,471,1388,22
1,3,2708,2160,2642,502,1522
1,3,6022,3354,3261,2507,686
1,3,2838,3086,4329,3838,1060
2,2,3996,11103,12469,902,741
1,2,21273,2013,6550,909,1854
2,2,7588,1897,5234,417,254
1,2,19087,1304,3643,3045,898
2,2,8090,3199,6986,1455,531
2,2,6758,4560,9965,934,1037
1,2,444,879,2060,264,259
2,2,16448,6243,6360,824,2005
2,2,5283,13316,20399,1809,172
2,2,2886,5302,9785,364,555
2,2,2599,3688,13829,492,59
2,2,161,7460,24773,617,2410
2,2,243,12939,8852,799,211
2,2,6468,12867,21570,1840,1543
1,2,17327,2374,2842,1149,925
1,2,6987,1020,3007,416,656
2,2,918,20655,13567,1465,806
1,2,7034,1492,2405,12569,1117
1,2,29635,2335,8280,3046,117
2,2,2137,3737,19172,1274,142
1,2,9784,925,2405,4447,297
1,2,10617,1795,7647,1483,1233
2,2,1479,14982,11924,662,3508
1,2,7127,1375,2201,2679,1059
1,2,1182,3088,6114,978,1637
1,2,11800,2713,3558,2121,51
2,2,9759,25071,17645,1128,1625
1,2,1774,3696,2280,514,834
1,2,9155,1897,5167,2714,1113
1,2,15881,713,3315,3703,229
1,2,13360,944,11593,915,573
1,2,25977,3587,2464,2369,1092
1,2,32717,16784,13626,60869,5609
1,2,4414,1610,1431,3498,834
1,2,542,899,1664,414,522
1,2,16933,2209,3389,7849,1534
1,2,5113,1486,4583,5127,739
1,2,9790,1786,5109,3570,1043
2,2,11223,14881,26839,1234,1102
1,2,22321,3216,1447,2208,2602
2,2,8565,4980,67298,131,1215
2,2,16823,928,2743,11559,3486
2,2,27082,6817,10790,1365,2139
1,2,13970,1511,1330,650,778
1,2,9351,1347,2611,8170,868
1,2,3,333,7021,15601,550
1,2,2617,1188,5332,9584,1942
2,3,381,4025,9670,388,1371
2,3,2320,5763,11238,767,2158
1,3,255,5758,5923,349,1328
2,3,1689,6964,26316,1456,37
1,3,3043,1172,1763,2234,379
1,3,1198,2602,8335,402,303
2,3,2771,6939,15541,2693,1115
2,3,27380,7184,12311,2809,1022
1,3,3428,2380,2028,1341,665
2,3,5981,14641,20521,2005,445
1,3,3521,1099,1997,1796,995
2,3,1210,10044,22294,1741,3137
1,3,608,1106,1533,830,195
2,3,117,6264,21203,228,1111
1,3,14039,7393,2548,6386,2341
1,3,190,727,2012,245,127
1,3,22686,134,218,3157,548
2,3,37,1275,22272,137,110
1,3,759,18664,1660,6114,4100
1,3,796,5878,2109,340,776
1,3,19746,2872,2006,2601,503
1,3,4734,607,864,1206,405
1,3,2121,1601,2453,560,712
1,3,4627,997,4438,191,314
1,3,2615,873,1524,1103,468
2,3,4692,6128,8025,1619,3105
1,3,9561,2217,1664,1173,447
1,3,3477,894,534,1457,342
1,3,22335,1196,2406,2046,558
1,3,6211,337,683,1089,296
2,3,39679,3944,4955,1364,2235
1,3,20105,1887,1939,8164,790
1,3,3884,3801,1641,876,4829
2,3,15076,6257,7398,1504,3113
1,3,6338,2256,1668,1492,686
1,3,5841,1450,1162,597,70
2,3,3136,8630,13586,5641,1426
1,3,38793,3154,2648,1034,1242
1,3,3225,3294,1902,282,1114
2,3,4048,5164,10391,130,179
1,3,28257,944,2146,3881,270
1,3,17770,4591,1617,9927,532
1,3,34454,7435,8469,2540,2893
1,3,1821,1364,3450,4006,361
1,3,10683,21858,15400,3635,5120
1,3,11635,922,1614,2583,1068
1,3,1206,3620,2857,1945,967
1,3,20918,1916,1573,1960,961
1,3,9785,848,1172,1677,406
1,3,9385,1530,1422,3019,684
1,3,3352,1181,1328,5502,1000
1,3,2647,2761,2313,907,1827
1,3,518,4180,3600,659,654
1,3,23632,6730,3842,8620,819
1,3,12377,865,3204,1398,452
1,3,9602,1316,1263,2921,290
2,3,4515,11991,9345,2644,2213
1,3,11535,1666,1428,6838,743
1,3,11442,1032,582,5390,247
1,3,9612,577,935,1601,375
1,3,4446,906,1238,3576,1014
1,3,27167,2801,2128,13223,1902
1,3,26539,4753,5091,220,340
1,3,25606,11006,4604,127,288
1,3,18073,4613,3444,4324,715
1,3,6884,1046,1167,2069,378
1,3,25066,5010,5026,9806,960
2,3,7362,12844,18683,2854,553
2,3,8257,3880,6407,1646,344
1,3,8708,3634,6100,2349,5137
1,3,6633,2096,4563,1389,1892
1,3,2126,3289,3281,1535,4365
1,3,97,3605,12400,98,62
1,3,4983,4859,6633,17866,2435
1,3,5969,1990,3417,5679,290
2,3,7842,6046,8552,1691,1874
2,3,4389,10940,10908,848,993
1,3,5065,5499,11055,364,1063
2,3,660,8494,18622,133,776
1,3,8861,3783,2223,633,1521
1,3,4456,5266,13227,25,1393
2,3,17063,4847,9053,1031,1784
1,3,26400,1377,4172,830,1218
2,3,17565,3686,4657,1059,668
2,3,16980,2884,12232,874,249
1,3,11243,2408,2593,15348,1886
1,3,13134,9347,14316,3141,1894
1,3,31012,16687,5429,15082,1163
1,3,3047,5970,4910,2198,317
1,3,8607,1750,3580,47,2501
1,3,3097,4230,16483,575,2080
1,3,8533,5506,5160,13486,1498
1,3,21117,1162,4754,269,395
1,3,1982,3218,1493,1541,1449
1,3,16731,3922,7994,688,838
1,3,29703,12051,16027,13135,2204
1,3,39228,1431,764,4510,2346
2,3,14531,15488,30243,437,1867
1,3,10290,1981,2232,1038,2125
1,3,2787,1698,2510,65,52
